분,종목명,L일봉H,현재가,대비,,등락률,거래량,메모,종목코드
신,오리온홀딩스,24800 31150 24050 28900,"28,900",▲,"4,100","16.53","3,037,072",,'001800
신,코나아이,62000 72600 59600 69200,"69,200",▲,"7,800","12.70","1,682,090",,'052400
펀,KODEX 200선물인버스2X,105 121 102 118,"118",▲,"14","13.46","4,294,967,295",,'252670
신,TKG휴켐스,17690 20600 17140 19400,"19,400",▲,"1,590","8.93","1,625,709",,'069260
신,티앤엘,55100 65200 53400 60600,"60,600",▲,"5,600","10.18","562,840",,'340570
신,넥스틸,18690 21900 17320 19940,"19,940",▲,"1,470","7.96","11,496,266",LNG 가스관,'092790
신,제이투케이바이오,9060 11850 8870 10130,"10,130",▲,"740","7.88","1,682,819",,'420570
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
