분,종목명,L일봉H,현재가,대비,,등락률,거래량,메모,종목코드
신,피에스케이홀딩스,100600 130700 100000 114400,"114,400",▲,"13,800","13.72","869,668","sk 하이닉스 상승할때, 같이 상승한다.   HBM 시장 성장의 핵심 수혜주, 후공정 장비 수요 증가  피에스케이홀딩스는 인공지능(AI) 시장 개화에 따른 고대역폭메모리(HBM) 수요 급증의 직접적인 수혜를 받는 반도체 후공정 장비 기업입니다. HBM 생산에 필수적인 장비를 공급하며 실적 성장 기대감이 높습니다.  주요 재료 및 상세 내용  HBM 및 첨단 패키징 시장 확대: AI 반도체에 필수적인 HBM은 여러 개의 D램을 수직으로 쌓아 만듭니다. 이 과정에서 피에스케이홀딩스의 리플로우(Reflow) 장비와 디스컴(Descum) 장비 등 후공정 패키징 장비의 중요성이 크게 부각되고 있습니다. HBM의 단수가 높아지고(고단화), CoWoS와 같은 첨단 패키징 기술 투자가 확대될수록 동사의 장비 수요는 구조적으로 증가할 가능성이 높습니다.  견고한 실적 및 재무 안정성: 증권가에서는 피에스케이홀딩스가 2024년 4분기부터 본격적인 실적 개선을 이룰 것으로 전망하고 있습니다. HBM 테마 내에서도 재무적 성장성과 안정성, 수익성이 모두 높은 편으로 평가받고 있어 투자 매력도가 높은 것으로 분석됩니다.  고객사 다변화 및 투자 확대: 주요 종합반도체기업(IDM)과 후공정 외주업체(OSAT) 모두를 고객사로 확보하고 있으며, 이들 기업의 HBM 관련 설비 투자가 본격화됨에 따라 지속적인 수혜가 예상됩니다.  최근 [특징주] 기사  2025년 9월 18일: HBM(고대역폭메모리) 테마 상승세에 부각되며 7.9% 상승 마감.  기사 제목: [특징주, 피에스케이홀딩스-HBM(고대역폭메모리) 테마 상승세에 7.9% ↑ - 매일경제]",'031980
펀,SOL 반도체전공정,22225 26700 22195 26470,"26,470",▲,"5,000","23.29","3,460,749",,'475300
신,한화비전,67500 82000 65300 74400,"74,400",▲,"6,700","9.90","4,307,838","하이브리드 TC본더' 격돌…차세대 HBM 장비戰 가열  한화세미텍은 하이브리드 본더 시장에선 한 발 앞선 진입으로 경쟁 우위를 확보하고 있다는 평을 받고 있다. 1세대 하이브리드 TC본더를 고객사에 이미 공급해 설치·운영 중이며, 현재는 2세대 장비 개발 막바지 단계에 접어든 것으로 알려진다.시장에서는 한화세미텍이 조만간 2세대 하이브리드 TC본더를 출시할 수 있는 수준에 도달한 것으로 보고 있으며, 내년에는 해당 장비가 고객사 퀄리티 테스트(QT)에 들어갈 수 있을 것으로 관측하고 있다.",'489790
경,아모텍,22050 25250 21850 24800,"24,800",▲,"3,500","16.43","705,501",MLCC,'052710
주,에스에이엠티,16990 19480 16640 18860,"18,860",▲,"2,590","15.92","3,795,803"," IT(정보기술) 마케팅 전문기업이다. 삼성전자 등 글로벌 기업과 공급 계약을 기반으로 스마트폰, OLED 모니터, TV 제조사 등에 핵심 전자부품을 공급",'031330
신,신세계,597000 680000 575000 629000,"629,000",▲,"60,000","10.54","237,775",,'004170
신,동진쎄미켐,51800 65300 50900 56600,"56,600",▲,"4,800","9.27","4,350,522","'[특징주] 동진쎄미켐,日 포토레지스트 중국 봉쇄에 상승 동진쎄미켐은 ArF·KrF·EUV 포토레지스트까지 전 공정 레이어를 국산화한 사실상 국내 유일 기업으로, 일본산 의존도를 낮추려는 삼성전자·SK하이닉스의 전략과 맞물리며 대체재로 부각된다. 동진쎄미켐은 이미 삼성전자와 함께 EUV 포토레지스트(극자외선 PR)를 공동 개발해 일부 라인에 적용한 이력이 있으며, ArF·KrF에서는 글로벌 품질 수준으로 평가받는다.  EUV용 PR 소재 수요 확대… 동진쎄미켐 성장 기대감↑ (25.02.20)동진쎄미켐, 삼성 반도체 공급망 강화 위해 美 텍사스 투자 확대? 동진쎄미켐이 미국 정부로부터 240만 달러(약 34억 원)의 보조금을 확보하며 반도체 소재 생산 확대에 나선다. 이를 기반으로 1억1000만 달러(약 1500억 원)를 추가 투자해 텍사스주 킬린 공장의 생산능력을 확장하고, 삼성전자의 반도체 공장에 안정적인 원재료를 공급할 계획이다.동진쎄미켐은 지난 2022년 미국 첫 공장 건설을 결정하고, 7000만 달러(약 1000억 원)를 투자해 9만1000㎡ 규모의 포토레지스트 신너(Thinner) 공장을 설립했다. 포토레지스트 신너는 실리콘 웨이퍼 가장자리의 불필요한 포토레지스트를 제거하는 화학 용제로, 반도체 회로 형성 과정에서 정밀도를 높이는 필수 소재다. 동진쎄미켐은 국내 포토레지스트 신너 시장에서 점유율 1위를 차지하고 있으며, 미국 시장에서도 경쟁력을 확대하고 있다.   상세 공급망 구조 (Value Chain) 이 두 회사는 **[삼양엔씨켐 → 동진쎄미켐 → 삼성전자/SK하이닉스]**로 이어지는 공급 사슬의 핵심 파트너입니다.  삼양엔씨켐 (Upstream): 반도체 노광 공정에 쓰이는 감광액(PR)의 주원료인 '폴리머(Polymer)'와 '광산발생제(PAG)'를 생산합니다.  동진쎄미켐 (Midstream): 삼양엔씨켐으로부터 폴리머 등을 공급받아 배합하고 제조하여, 최종 완제품인 '포토레지스트(Photoresist)'를 생산합니다.  반도체 제조사 (Downstream): 만들어진 포토레지스트는 최종적으로 삼성전자, SK하이닉스 등의 반도체 공정에 투입됩니다.",'005290
신,현대백화점,121200 141000 118400 131500,"131,500",▲,"9,700","7.96","700,647",,'069960
신,GST,48900 57600 46200 52700,"52,700",▲,"4,500","9.34","1,186,217",'액침냉각/엔비니아 퀄테스트,'083450
신,케이씨텍,59600 71750 57900 64100,"64,100",▲,"4,400","7.37","498,122","(24.02.28)[특징주] 케이씨텍, 삼성전자 후면전력공급 내년 첫 상용화… 국내 유일 CMP 보유 부각 (25.07.30)삼성전자, 테슬라 AI6 수주 넘어 하이브리드 본딩까지...“CMP 핵심 요소 부상” 업계 전문가들은 “2나노 공정과 같은 초미세 공정에서 이미 CMP가 수율의 핵심 변수로 부상했다”라며 “하이브리드 본딩과 같이 3D 패키징 기술로 진화할수록 CMP 공정의 평탄도·균일성·결함 제어 기술이 더욱 절대적으로 중요해질 것”이라고 입을 모았다.최근 삼성전자는 2025년 8월부터 2033년 말까지 약 22조 원 규모로 테슬라의 6세대 AI 칩 AI6을 수탁 생산하는 대규모 계약을 체결했다. 해당 칩은 삼성의 2나노 GAA(Gate-All-Around) 공정을 적용한 첫 대형 상용 칩이 될 전망이며, 미국 테일러 파운드리에서 생산된다.",'281820
주,코리아써키트,105100 129000 100100 115000,"115,000",▲,"6,000","5.50","838,501","(24.12.23)[특징주] 코리아써키트, '브로드컴' 삼성·SK에 HBM4 대량 요청… 3사 고객사 부각 (25.08.18)코리아써키트, 반도체·모듈 PCB 매출 성장세 '지속'…""올해 턴어라운드 주목"" 박강호 대신증권 연구원은 ""동사만 별도 기준으로, 주기판(HDI)은 비수기 영향으로 매출은 부진했지만 메모리 모듈 중심의 매출아 증가했다""며 ""반도체 패키지의 가동률 개선 등 패키지 부문의 수익성은 개선이 진행 중에 있다""고 짚었다.이어 ""레거시(범용) 반도체 물량 증가와 FC BGA, 플립칩 칩스케일 패키지(FC CSP)도 신규수주가 반영되면서 매출이 반등했다""며 ""다만 연결에서 인터플렉스의 실적 부진이 전체 실적에서 개선 부담으로 작용했다.아울러 ""브로드컴향 FC BGA 매출이 증가하며 FC 계열의 반도체 기판 비중 확대로 수익성 개선은 지속될 것""이라고 조언했다.  반도체 패키지 기판 전문, 전장용 FC-BGA로 성장 코리아써키트는 스마트폰과 PC를 넘어 서버, 통신장비, 자동차 전장 등 고부가가치 반도체 패키지 기판(Substrate)을 전문적으로 생산하는 기업입니다.  주요 재료 상세 분석:  고부가 반도체 기판 주력: 스마트폰 주기판(HDI)과 반도체 칩을 연결하는 패키지 기판을 주력으로 생산합니다.  전장용 FC-BGA 공급: 특히 기술 장벽이 높은 FC-BGA 분야에서 차량 외부 센서용 제품을 글로벌 반도체 기업 'ST마이크로일렉트로닉스'에 공급하며 기술력을 인정받고 있습니다.  영풍그룹 계열사: 대규모 투자가 필요한 장치 산업인 PCB 산업에서 안정적인 그룹사의 지원을 받고 있습니다.",'007810
신,원익QnC,29900 36100 29800 32150,"32,150",▲,"1,950","6.46","1,423,099",,'074600
증,오킨스전자,16830 19730 16700 18430,"18,430",▲,"1,820","10.96","830,423","'반도체 검사용 소모성 부품인 '테스트 소켓' (특히 번인 소켓) 전문 제조 기업입니다. 삼성전자, SK하이닉스 등 국내외 반도체 대기업에 공급하며, 최근 CXL 테스트 소켓, 스프링핀 등 신사업을 확장하고 있습니다.  1. 핵심 재료 요약 (50자 내) 차세대 메모리 인터페이스 CXL 관련주로, CXL 및 DDR5 테스트 소켓 개발사로 시장에서 부각.  2. 추가 중요 내용  주력 제품: 반도체 후공정에서 고온 등의 환경에서 제품의 신뢰성을 검사하는 '번인 소켓(Burn-In Socket)'이 주력입니다.  CXL 모멘텀: 삼성전자, SK하이닉스 등 주요 메모리 기업들이 AI 시장 대응을 위해 CXL(컴퓨트 익스프레스 링크) 도입을 가속화하면서, CXL용 DDR5 메모리 테스트 소켓을 개발한 오킨스전자가 핵심 공급사로 주목받고 있습니다.  신사업: HBM(고대역폭 메모리) 후공정에 사용되는 '마그네틱 콜렛' 및 프로브카드용 '스프링핀' 등으로 사업을 다각화하고 있습니다.  3. 최근 [특징주] 기사  [2025년 9월 11일, [특징주] 오킨스전자, “삼성·SK 美 CXL 퀄 테스트 통과”에 핵심 부품 공급사 '부각', +8.31% (장중 시세 기준), https://www.widedaily.com/news/articleView.html?idxno=277821]  참고: 2024년 9월 12일에도 CXL 관련 기술력과 수주 증가 기대감으로 [특징주] 기사가 나왔으며, 당시 전일 대비 25.1% 급등한 바 있습니다. (출처: 와이드경제)  인텔의 CPU 소켓과 메모리 슬롯 등 반도체 테스트용 소켓을 공급하고 있으며, CXL 기술 전환에 따른 수혜가 기대됩니다.",'080580
증,씨이랩,9700 12500 9300 10700,"10,700",▲,"990","10.20","2,271,696","인공지능(AI) 영상분석 서비스 전문기업으로, 엔비디아의 소프트웨어(SW) 파트너사다.",'189330
신,KX하이텍,1617 1911 1617 1770,"1,770",▲,"150","9.26","8,908,782",,'052900
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
,,,"",,"","","",,
